Hour,Demand,Wind
1,3062.9765,333.81358
2,3084.6622,331.45544
3,2886.5782,357.53071
4,2656.4572,365.66025
5,2514.1319,389.17649
6,2499.2004,428.16669
7,2650.264,444.55671
8,2734.7028,478.80575
9,2885.3741,471.24869
10,3151.9476,457.63716
11,3401.9238,380.73903
12,3574.3292,365.0631
13,3829.3939,358.51458
14,3943.0178,365.99997
15,3947.9395,418.37779
16,4082.6102,419.3846
17,4346.4838,403.41002
18,4500.1114,535.79319
19,4347.7513,666.33743
20,4091.5343,696.17248
21,3870.4694,701.73621
22,3554.1724,756.93548
23,3134.8818,817.86436
24,2755.2499,837.80515
25,2870.7484,834.97977
26,2863.0886,838.60284
27,2688.9196,845.87431
28,2528.6229,854.82204
29,2431.5379,862.43492
30,2575.8713,863.23321
31,3074.2474,858.45703
32,3541.9072,851.52763
33,3861.5687,841.90631
34,4091.9141,810.34386
35,4077.2337,750.92655
36,4082.3845,764.03385
37,4134.4602,770.03205
38,4196.9173,762.13151
39,4272.2714,751.60748
40,4363.1508,757.5953
41,4675.2037,793.02657
42,4890.5841,832.6441
43,4740.3288,861.15664
44,4459.5844,857.5092
45,4112.5062,815.12934
46,3678.9982,731.81099
47,3140.661,692.05487
48,2709.0911,590.28935
49,2779.0562,494.80411
50,2778.3148,480.15633
51,2643.9017,463.43273
52,2542.533,467.37802
53,2475.1815,487.82414
54,2646.7579,469.07276
55,3129.6155,470.29713
56,3542.0444,478.57928
57,3847.3532,477.80684
58,4041.0198,501.38581
59,4092.3497,584.50931
60,4187.415,564.33803
61,4290.0288,567.47842
62,4188.1503,581.33006
63,4137.0217,555.8359
64,4350.5087,598.97512
65,4778.3174,634.88358
66,4987.1209,635.52588
67,4905.9642,625.16063
68,4658.5085,618.58088
69,4303.3958,599.18547
70,3896.075,597.05669
71,3435.8707,545.71462
72,3024.736,578.92519
73,3063.617,592.23688
74,3063.615,623.62218
75,2828.7815,588.22387
76,2678.9066,548.10286
77,2560.2371,505.4155
78,2593.457,401.47325
79,2842.2176,258.32811
80,3117.3222,146.36333
81,3419.5691,84.37106
82,3597.4435,43.985814
83,3619.0022,18.716395
84,3575.3878,17.94046
85,3573.9626,29.570967
86,3704.5641,43.196585
87,3798.5844,52.079052
88,4018.0526,73.518068
89,4436.4387,106.95319
90,4696.4477,106.81532
91,4606.9827,110.13342
92,4375.3996,130.35502
93,4101.2962,180.30091
94,3778.6225,278.64563
95,3365.0998,346.20598
96,2977.9438,410.44241
97,3039.6963,440.01049
98,3014.896,496.45898
99,2825.9143,504.45974
100,2670.4483,525.09099
101,2504.9447,543.58286
102,2486.7697,563.59434
103,2661.8091,584.96398
104,2832.7539,616.75364
105,3130.7133,624.06492
106,3526.5792,612.58626
107,3776.5224,513.57156
108,3883.1996,540.54731
109,4026.5672,582.9857
110,4073.8047,595.55227
111,4086.7797,581.09105
112,4241.8084,583.52524
113,4603.3623,592.48614
114,4808.2617,613.12187
115,4662.1704,636.64937
116,4352.407,673.12533
117,4024.8684,700.30379
118,3658.8729,695.18453
119,3195.6995,641.95925
120,2731.4997,667.19717
121,2808.4078,662.68045
122,2821.3867,694.77808
123,2731.8558,725.76189
124,2528.0971,772.60208
125,2426.2025,809.31431
126,2618.9076,825.09273
127,3312.4842,851.00842
128,3967.4436,866.12952
129,4266.0475,877.8944
130,4372.3929,892.05194
131,4206.9374,863.73049
132,3948.1356,876.17534
133,4058.0395,899.45412
134,4235.3666,873.44706
135,4333.06,756.73336
136,4578.2121,526.43907
137,4931.2496,370.93651
138,5089.3544,324.10288
139,4994.0047,360.76748
140,4763.9732,404.15996
141,4386.4567,457.22687
142,3920.6199,438.27167
143,3380.193,329.85976
144,2899.1137,328.33785
145,2946.3094,374.79314
146,3024.1885,439.20472
147,2888.7525,491.32946
148,2739.2947,566.5046
149,2692.5718,607.02175
150,2899.8187,686.86408
151,3549.4443,785.99131
152,4158.3866,853.56253
153,4299.0843,886.18827
154,4313.0318,910.38311
155,4216.7648,917.30434
156,4124.7516,923.21897
157,4142.6368,925.1169
158,4236.9746,933.9484
159,4186.9608,935.93466
160,4303.1683,933.15387
161,4751.1748,931.0196
162,4973.7177,927.61844
163,4873.4793,927.24693
164,4577.88,913.13124
165,4145.6821,887.02631
166,3639.3314,895.01137
167,3057.7594,894.11134
168,2594.9979,834.67007
